Depth (cm),Ni (ppm),Co (ppm)
0.06,7.89,0.63
0.18,3.79,0.33
0.3,3.72,0.31
0.42,3.62,0.33
0.54,4,0.35
0.66,3.8,0.31
0.78,3.36,0.29
0.9,3.64,0.31
1.02,3.87,0.29
1.14,3.78,0.31
1.26,3.64,0.33
1.38,3.34,0.33
1.5,3.53,0.3
1.62,3.34,0.3
1.74,3.19,0.29
1.86,3.37,0.29
1.98,3.2,0.31
2.1,3.19,0.3
2.34,2.96,0.3
2.46,3.18,0.29
2.58,3.12,0.28
2.7,2.99,0.3
2.94,2.88,0.29
3.06,3.22,0.3
3.18,2.95,0.29
3.3,2.95,0.28
3.42,2.99,0.29
3.54,2.96,0.28
3.66,2.74,0.26
3.9,2.57,0.29
4.02,2.56,0.25
4.14,2.75,0.28
4.26,2.95,0.3
4.38,3.11,0.3
4.5,3.23,0.28
4.62,2.77,0.21
4.74,3.5,0.32
4.86,3.79,0.37
4.98,3.72,0.37
5.1,2.74,0.29
5.22,2.35,0.21
5.34,2.34,0.25
5.46,1.6,0.15
5.58,2.92,0.25
5.7,4.31,0.41
5.94,0.63,0.05
6.06,3.32,0.32
6.18,0.62,0.08
6.3,3.53,0.35
6.42,2.31,0.23
6.54,1.3,0.13
6.66,2.61,0.22
6.78,1.78,0.18
6.9,3.02,0.32
7,7.08,1.33
7.1,9.66,0.45
7.3,6.38,1.26
7.49,6.73,1.31
7.69,6.77,1.3
7.89,6.56,1.29
8.09,3.48,0.39
8.09,6.81,1.42
8.29,6.52,1.37
8.48,6.56,1.27
9.08,3.9,0.4
9.84,3.3,0.38
10.45,3.57,0.38
11.06,3.38,0.4
11.67,3.26,0.4
12.28,4.34,0.39
12.89,3.12,0.38
13.5,3.17,0.39
14.11,3.35,0.4
14.72,3.15,0.41
15.33,3.29,0.47
15.94,3.13,0.44
16.55,3.03,0.38
17.16,3.08,0.42
17.77,3.21,0.41
18.38,3.72,0.47
18.99,3.36,0.46
19.6,4.6,0.38
20.21,5.24,0.47
20.82,4.73,0.43
21.43,5.55,0.53
22.04,4.28,0.39
22.65,5.37,0.44
23.26,6.37,0.7
23.86,4.75,0.41
24.47,5.04,0.4
25.08,5.08,0.58
25.69,5.13,0.46
26.3,4.37,0.38
26.91,4.8,0.41
27.52,5.72,0.48
28.1,5.04,0.44
28.66,4.38,0.34
29.23,4.55,0.4
29.79,4.57,0.36
30.35,4.65,0.37
30.91,4.53,0.36
31.5,4.41,0.38
32.11,4.51,0.36
32.72,4.72,0.36
33.33,4.75,0.42
33.94,4.64,0.39
34.55,4.31,0.38
35.08,4.41,0.35
35.55,4.65,0.37
36.03,4.73,0.86
36.51,4.43,0.39
36.99,4.27,0.4
37.47,4.47,0.38
38.08,4.34,0.39
38.58,4.2,0.39
39.16,4.77,0.41
39.73,4.18,0.42
40.31,4.68,0.43
40.89,4.71,0.52
41.23,4.74,0.51
41.41,4.4,0.47
41.55,4.41,0.47
41.72,4.2,0.38
41.86,4.37,0.38
42.03,4.16,0.39
42.21,4.72,0.41
42.39,4.4,0.6
42.59,5.59,0.45
42.84,4.89,0.58
42.99,4.27,0.39
43.15,4.03,0.42
43.4,4.87,0.41
43.66,4.58,0.44
43.98,4.89,0.5
44.24,5.03,0.39
44.51,5.02,0.5
44.77,5.06,0.59
44.99,4.05,0.41
45.17,5.74,0.41
45.35,4.11,0.45
45.53,4.5,0.41
45.71,4.84,0.5
45.89,5.48,0.47
46.17,4.57,0.31
46.52,5.45,0.43
46.86,4.64,0.37
47.21,4.61,0.38
47.54,5.48,0.38
47.85,5.23,0.41
48.16,5.16,0.4
48.48,4.8,0.35
48.79,4.18,0.34
49.1,4.69,0.4
49.51,4.52,0.35
49.97,4.66,0.37
50.43,4.28,0.35
50.89,4.42,0.37
51.35,4.07,0.34
51.81,4.25,0.35
52.22,4.46,0.42
52.6,4.35,0.35
52.98,4.22,0.32
53.36,4.58,0.39
53.74,4.26,0.34
54.12,5.4,0.34
54.57,4.29,0.37
55.06,3.96,0.34
55.56,4.43,0.38
56.05,3.75,0.34
56.55,3.96,0.34
57.04,3.73,0.34
57.45,3.64,0.34
57.79,3.88,0.34
58.14,3.88,0.39
58.49,3.64,0.35
58.83,3.98,0.33
59.18,4,0.38
59.52,3.81,0.37
59.87,3.54,0.37
60.22,3.69,0.37
60.56,3.79,0.34
60.91,3.75,0.43
61.25,3.41,0.32
61.65,3.52,0.32
62.08,3.3,0.33
62.51,3.72,0.36
62.94,3.52,0.38
63.36,3.93,0.4
63.79,3.62,0.34
64.18,4.09,0.38
64.54,3.51,0.32
64.91,3.77,0.34
65.27,3.73,0.35
65.63,3.75,0.35
65.99,3.43,0.36
66.41,3.87,0.41
66.85,3.45,0.34
67.3,3.24,0.33
67.74,3.76,0.37
68.19,3.2,0.33
68.63,4.3,0.45
69.03,3.23,0.33
69.39,3.26,0.33
69.75,3.88,0.39
70.11,3.16,0.33
70.48,3.07,0.34
70.84,3.22,0.39
71.28,3.24,0.34
71.78,3.57,0.4
72.27,3.18,0.36
72.76,3.59,0.42
73.26,3.55,0.37
73.75,3.78,0.35
74.31,3.46,0.34
74.9,3.37,0.38
75.49,4.08,0.45
76.09,3.39,0.38
76.68,3.67,0.4
77.28,4.16,0.45
77.83,3.61,0.39
78.36,3.33,0.36
78.88,4.19,0.44
79.41,4.56,0.45
79.94,3.53,0.36
80.47,3.6,0.39
80.99,3.39,0.35
81.52,3.41,0.35
82.05,3.88,0.41
82.58,3.39,0.31
83.1,3.17,0.34
83.63,3.36,0.33
84.14,3.04,0.32
84.63,3.58,0.35
85.13,3.3,0.32
85.62,3.75,0.33
86.12,3.61,0.35
86.61,2.82,0.34
87.11,3.66,0.36
87.6,3.3,0.35
88.09,3.43,0.34
88.59,3.69,0.33
89.03,3.68,0.36
89.53,3.15,0.33
90.07,2.83,0.3
90.57,3.44,0.33
91.06,3.2,0.33
91.56,3.07,0.33
92.05,3.23,0.36
92.54,3.07,0.33
93.04,3.19,0.32
93.53,3.06,0.35
94.03,3.1,0.33
94.52,3,0.31
95.02,2.97,0.31
95.51,2.96,0.3
96.01,3.06,0.31
96.5,2.77,0.29
96.99,2.95,0.34
97.49,3.41,0.36
97.98,3.09,0.36
98.6,3.36,0.35
99.11,3.65,0.34
99.52,3.45,0.34
99.93,3.47,0.34
100.34,3.29,0.36
100.78,3.51,0.36
101.25,3.09,0.35
101.71,3.27,0.35
102.18,3.34,0.37
102.65,3.27,0.35
103.11,3.58,0.37
103.6,3.59,0.38
104.1,3.39,0.36
104.6,3.15,0.34
105.1,3.09,0.34
105.6,3.07,0.34
106.1,3.57,0.38
106.6,3.46,0.35
107.1,3.28,0.34
107.6,3.42,0.35
108.1,3.31,0.35
108.6,3.47,0.37
109.1,3.51,0.37
109.6,3.35,0.33
110.1,3.48,0.33
110.6,3.42,0.36
111.1,9.07,0.39
111.6,3.54,0.34
112.1,3.5,0.34
112.6,3.59,0.36
113.1,3.51,0.35
113.6,4.66,0.35
114.1,2.92,0.31
114.6,3.37,0.35
115.1,3.46,0.33
115.6,3.3,0.35
116.1,3.3,0.33
116.6,3.06,0.29
117.1,3.37,0.32
117.6,3.67,0.34
118.1,3.69,0.38
118.6,3.26,0.35
119.1,3.38,0.34
119.6,3.13,0.34
120.1,3.57,0.33
120.6,3.52,0.35
121.1,3.11,0.31
121.6,3.19,0.32
122.1,3.17,0.35
122.6,3.2,0.34
123.1,3.44,0.35
123.6,3.23,0.32
124.1,3.31,0.34
124.59,3.2,0.31
125.07,3.26,0.35
125.56,3.25,0.35
126.04,3.22,0.34
126.52,3.3,0.36
127.01,3.29,0.35
127.52,3.3,0.32
128.05,3.16,0.34
128.59,2.98,0.31
129.12,3.25,0.35
129.65,3.08,0.32
130.19,3.22,0.34
130.73,3.32,0.34
131.28,3.44,0.32
131.83,3.15,0.33
132.38,3.97,0.39
132.93,2.76,0.27
133.48,3.29,0.33
134.08,3.19,0.35
134.71,3.03,0.32
135.34,3.05,0.32
135.97,3.33,0.33
136.6,3.03,0.33
137.23,3.03,0.32
137.86,3.11,0.33
138.49,3.47,0.35
139.12,3.59,0.34
139.75,3.09,0.3
140.3,3.15,0.34
140.8,4.17,0.43
141.3,3.32,0.33
141.8,3.43,0.35
142.3,3.89,0.34
142.8,2.75,0.27
143.3,3.53,0.31
143.8,2.8,0.27
144.3,3.6,0.36
144.8,3.27,0.33
145.34,2.88,0.29
145.9,3.34,0.33
146.46,3.32,0.33
147.02,2.76,0.27
147.58,3.13,0.3
148.14,2.85,0.3
148.7,2.96,0.29
149.26,2.76,0.29
149.82,3.58,0.31
150.38,3.15,0.3
150.88,3.08,0.3
151.34,3.23,0.3
151.8,2.48,0.26
152.26,2.57,0.25
152.72,3.48,0.33
153.18,3.03,0.31
153.64,3.37,0.32
154.1,3.26,0.35
154.56,3.07,0.28
155.02,2.76,0.28
155.2,7.77,1.91
155.6,7.56,1.97
155.74,4.48,1
155.87,7.69,2
156.23,10.7,3.73
156.38,5.06,1.01
156.38,8.27,2.06
156.64,10.8,3.58
156.88,10.1,3.29
