depth_cm,age_bp,d18O
231.8857,8061.0,-9.34
231.894,8061.4,-9.4
231.9029,8061.7,-9.3
231.9114,8062.1,-8.67
231.9162,8062.3,-8.72
231.921,8062.5,-8.63
231.9257,8062.7,-8.47
231.9305,8062.9,-8.29
231.9348,8063.1,-8.78
231.9377,8063.3,-9.36
231.9407,8063.4,-9.82
231.9437,8063.5,-9.86
231.9466,8063.6,-9.71
231.9496,8063.8,-8.77
231.9526,8063.9,-8.5
231.9556,8064.0,-8.88
231.9583,8064.2,-9.21
231.9607,8064.3,-9.59
231.9681,8064.6,-9.74
231.9706,8064.7,-9.55
231.973,8064.8,-9.01
231.9755,8064.9,-9.33
231.9779,8065.0,-9.25
231.9802,8065.1,-9.66
231.9817,8065.2,-10.33
231.9832,8065.3,-10.4
231.9847,8065.3,-10.31
231.9861,8065.4,-9.97
231.9876,8065.5,-9.32
231.9891,8065.6,-9.18
231.9906,8065.6,-9.61
231.992,8065.7,-9.6
231.9935,8065.8,-9.79
231.995,8065.9,-9.91
231.9965,8065.9,-10.08
231.9979,8066.0,-9.93
231.9994,8066.1,-9.84
232.0035,8066.3,-9.62
232.0093,8066.4,-9.87
232.0152,8066.6,-9.92
232.021,8066.8,-10.07
232.0268,8067.0,-10.13
232.0326,8067.2,-10.25
232.0384,8067.4,-10.47
232.0442,8067.6,-10.27
232.05,8067.8,-9.52
232.0558,8067.9,-9.03
232.0609,8068.1,-8.97
232.064,8068.2,-8.95
232.0671,8068.3,-9.09
232.0702,8068.4,-9.55
232.0733,8068.5,-9.64
232.0764,8068.6,-9.41
232.0795,8068.8,-9.71
232.0826,8068.9,-9.43
232.0857,8069.0,-9.5
232.0888,8069.1,-9.38
232.092,8069.2,-9.39
232.0953,8069.3,-9.11
232.0987,8069.4,-8.9
232.102,8069.5,-9.13
232.1086,8069.7,-9.34
232.1119,8069.8,-8.8
232.1153,8069.9,-8.76
232.1186,8070.1,-8.91
232.123,8070.2,-9.26
232.1281,8070.4,-9.21
232.1333,8070.6,-8.71
232.1385,8070.7,-8.72
232.1436,8070.9,-9.09
232.1488,8071.1,-9.05
232.1532,8071.2,-9.19
232.1575,8071.3,-8.83
232.1617,8071.5,-8.85
232.1659,8071.6,-9.11
232.1702,8071.8,-8.73
232.1744,8071.9,-8.87
232.1786,8072.1,-9.22
232.1823,8072.2,-9.4
232.1858,8072.3,-9.35
232.1892,8072.4,-9.38
232.1995,8072.7,-9.62
232.203,8072.9,-9.51
232.2064,8073.0,-9.14
232.2099,8073.1,-9.16
232.2199,8073.4,-9.25
232.2303,8073.6,-9.26
232.2406,8073.9,-9.46
232.251,8074.1,-9.28
232.2627,8074.5,-9.32
232.2743,8074.8,-9.39
232.2825,8075.2,-9.29
232.307,8076.0,-9.49
232.3135,8076.2,-9.49
232.3228,8076.5,-9.57
232.3321,8076.8,-9.79
232.3414,8077.1,-9.54
232.3507,8077.5,-9.39
232.36,8077.8,-9.29
232.3693,8078.1,-9.27
232.3751,8078.3,-9.04
232.3805,8078.4,-9.22
232.386,8078.6,-9.2
232.3915,8078.8,-9.25
232.397,8079.0,-9.2
232.4023,8079.2,-9.57
232.4075,8079.3,-9.23
232.4126,8079.5,-8.91
232.4178,8079.7,-8.89
232.423,8079.9,-9.29
232.4281,8080.0,-9.26
232.4366,8080.4,-9.36
232.4469,8080.7,-9.41
232.4573,8081.0,-9.46
232.4654,8081.2,-9.57
232.4726,8081.4,-9.44
232.4799,8081.6,-9.33
232.4872,8081.8,-9.34
232.4945,8082.0,-9.35
232.5005,8082.1,-9.32
232.5025,8082.3,-9.26
232.5045,8082.5,-9.08
232.5085,8082.9,-9.0
232.5105,8083.1,-9.12
232.5129,8083.3,-9.2
232.5153,8083.5,-9.22
232.5177,8083.7,-9.15
232.5202,8084.0,-9.28
232.5229,8084.2,-9.27
232.5263,8084.5,-9.31
232.5297,8084.7,-9.19
232.533,8085.1,-9.2
232.5349,8085.3,-9.34
232.5368,8085.4,-9.34
232.5387,8085.6,-9.41
232.5406,8085.8,-9.24
232.5425,8086.0,-9.51
232.5444,8086.1,-9.56
232.5457,8086.3,-9.56
232.5471,8086.4,-9.41
232.5486,8086.5,-9.61
232.55,8086.7,-9.61
232.5514,8086.8,-9.45
232.5528,8086.9,-9.55
232.5543,8087.1,-9.36
232.5563,8087.2,-8.99
232.5592,8087.5,-9.0
232.562,8087.7,-9.07
232.5649,8088.0,-8.95
232.5679,8088.3,-9.26
232.571,8088.6,-9.11
232.5741,8088.8,-9.02
232.5773,8089.1,-9.14
232.5821,8089.6,-9.01
232.587,8090.0,-9.02
232.5925,8090.5,-9.17
232.5982,8091.0,-9.42
232.6027,8091.4,-9.51
232.6069,8091.8,-9.59
232.6107,8092.2,-9.74
232.6131,8092.4,-9.58
232.6156,8092.6,-9.86
232.618,8092.8,-9.62
232.6204,8093.0,-9.51
232.622,8093.2,-9.64
232.6233,8093.3,-9.23
232.6246,8093.4,-8.78
232.6259,8093.5,-8.92
232.6272,8093.7,-9.23
232.6286,8093.8,-9.44
232.6299,8093.9,-9.45
232.6312,8094.0,-9.22
232.633,8094.3,-9.13
232.6356,8094.5,-8.94
232.6382,8094.7,-8.9
232.6409,8094.9,-9.08
232.6435,8095.2,-8.91
232.648,8095.6,-9.14
232.6523,8095.9,-9.0
232.6574,8096.4,-9.61
232.6631,8096.9,-9.28
232.6688,8097.4,-9.07
232.6745,8098.0,-8.96
232.6788,8098.3,-9.11
232.6826,8098.7,-9.02
232.6863,8099.0,-9.17
232.6941,8099.7,-9.1
232.7,8100.2,-9.04
232.7038,8100.6,-8.79
232.7117,8101.4,-8.42
232.716,8101.7,-9.03
232.7201,8102.1,-9.09
232.7228,8102.4,-8.8
232.7254,8102.6,-8.13
232.728,8102.8,-8.02
232.7306,8103.1,-8.38
232.7344,8103.3,-8.8
232.7383,8103.5,-9.1
232.7422,8103.7,-9.13
232.7462,8103.9,-8.64
232.7502,8104.1,-8.3
232.7577,8104.6,-8.64
232.7652,8105.0,-8.87
232.7697,8105.2,-8.32
232.7732,8105.4,-8.28
232.7767,8105.6,-8.66
232.7802,8105.9,-8.6
232.7837,8106.1,-8.03
232.7889,8106.4,-8.28
232.7941,8106.7,-8.54
232.7994,8107.0,-8.86
232.8056,8107.4,-8.44
232.8122,8107.8,-8.18
232.819,8108.2,-8.41
232.8278,8108.7,-8.98
232.8366,8109.2,-9.18
232.8454,8109.7,-8.95
232.8538,8110.2,-8.47
232.8614,8110.7,-9.03
232.8689,8111.1,-9.29
232.8764,8111.5,-9.52
232.884,8112.0,-9.07
232.8895,8112.3,-9.15
232.8943,8112.6,-9.16
232.8991,8112.8,-9.56
232.9035,8113.1,-9.07
232.9065,8113.3,-8.82
232.9094,8113.5,-8.95
232.9123,8113.6,-9.2
232.9152,8113.8,-9.09
232.9182,8114.0,-8.98
232.921,8114.2,-9.3
232.9236,8114.3,-9.43
232.9263,8114.5,-9.2
232.9289,8114.6,-9.14
232.9315,8114.8,-9.08
232.9342,8114.9,-9.04
232.9368,8115.1,-8.98
232.9399,8115.3,-9.12
232.943,8115.4,-9.03
232.9461,8115.6,-9.23
232.9492,8115.8,-9.14
232.9523,8116.0,-9.22
232.955,8116.2,-8.88
232.9572,8116.3,-8.81
232.9594,8116.4,-9.0
232.9615,8116.5,-9.45
232.9637,8116.7,-9.39
232.9659,8116.8,-9.2
232.9681,8116.9,-8.95
232.9703,8117.1,-9.09
232.9738,8117.3,-9.17
232.9779,8117.5,-9.04
232.9819,8117.8,-9.42
232.986,8118.0,-9.18
232.9892,8118.2,-8.74
232.9938,8118.6,-9.3
232.9961,8118.8,-9.68
232.9985,8119.0,-9.38
233.0018,8119.2,-8.84
233.0069,8119.4,-8.86
233.0121,8119.6,-9.17
233.0173,8119.8,-9.29
233.0224,8120.0,-9.23
233.027,8120.2,-9.3
233.0311,8120.3,-9.08
233.0352,8120.5,-8.51
233.0393,8120.7,-8.77
233.0434,8120.8,-8.82
233.0474,8121.0,-8.89
233.0521,8121.2,-8.97
233.0576,8121.4,-8.77
233.0631,8121.6,-8.54
233.0687,8121.8,-8.43
233.0742,8122.1,-8.5
233.0816,8122.4,-8.67
233.0894,8122.7,-8.48
233.0971,8123.0,-8.51
233.1033,8123.2,-8.97
233.1084,8123.4,-8.72
233.1136,8123.6,-8.57
233.1188,8123.8,-8.61
233.1239,8124.1,-8.81
233.1291,8124.3,-8.69
233.1343,8124.5,-8.69
233.1394,8124.7,-9.13
233.1446,8124.9,-9.12
233.1498,8125.1,-9.08
233.1539,8125.3,-9.23
233.158,8125.4,-8.98
233.162,8125.6,-9.17
233.1661,8125.7,-9.38
233.1702,8125.9,-9.27
233.1743,8126.1,-8.99
233.1799,8126.3,-9.14
233.1859,8126.5,-9.05
233.1918,8126.7,-9.04
233.1978,8127.0,-9.07
233.2022,8127.2,-9.01
233.2057,8127.3,-8.88
233.2093,8127.5,-8.84
233.2128,8127.6,-8.7
233.2163,8127.8,-8.62
233.2198,8127.9,-8.56
233.2234,8128.0,-8.28
233.2273,8128.2,-8.23
233.2316,8128.4,-8.66
233.2359,8128.5,-8.82
233.2402,8128.7,-8.24
233.2445,8128.9,-8.13
233.2488,8129.1,-8.54
233.2525,8129.4,-8.91
233.256,8129.8,-9.06
233.2594,8130.1,-8.78
233.2622,8130.5,-8.62
233.265,8130.8,-8.59
233.2678,8131.1,-8.7
233.2706,8131.3,-8.77
233.2725,8131.6,-8.65
233.2748,8131.9,-8.48
233.2771,8132.1,-8.41
233.2802,8132.5,-8.37
233.2833,8132.8,-8.38
233.2913,8133.7,-8.28
233.296,8134.2,-8.39
233.3006,8134.7,-8.31
233.3053,8135.2,-8.47
233.3084,8135.6,-8.44
233.3119,8136.0,-8.4
233.3151,8136.3,-8.36
233.3182,8136.7,-8.43
233.3213,8137.0,-8.46
233.3242,8137.3,-8.22
233.327,8137.7,-8.41
233.3298,8138.0,-8.09
233.3326,8138.3,-8.19
233.3354,8138.6,-8.03
233.3382,8138.9,-8.14
233.341,8139.2,-8.03
233.3441,8139.6,-8.06
233.3472,8140.0,-8.25
233.3514,8140.4,-8.13
233.357,8141.0,-7.96
233.3613,8141.4,-8.0
233.3653,8141.9,-7.79
233.3701,8142.5,-7.82
233.3757,8143.1,-7.59
233.3813,8143.5,-7.95
233.3838,8144.0,-7.91
233.3868,8144.3,-8.01
233.3893,8144.6,-7.73
233.3918,8144.9,-7.76
233.3946,8145.2,-7.6
233.3986,8145.6,-7.75
233.4024,8146.0,-7.65
233.4079,8146.6,-7.89
233.4133,8147.2,-7.75
233.4179,8147.7,-7.79
233.4223,8148.2,-7.81
233.4263,8148.7,-8.1
233.4303,8149.1,-8.12
233.4338,8149.5,-8.01
233.4372,8149.9,-8.39
233.4413,8150.4,-8.55
233.446,8150.9,-8.4
233.4511,8151.5,-8.36
233.4567,8152.1,-8.46
233.4614,8152.6,-8.74
233.4661,8153.1,-8.87
233.47,8153.5,-9.21
233.474,8154.0,-9.05
233.4771,8154.3,-9.28
233.4799,8154.7,-9.19
233.4827,8155.0,-9.13
233.4861,8155.3,-8.44
233.4901,8155.8,-8.43
233.494,8156.2,-8.44
233.4976,8156.8,-8.21
233.5027,8157.3,-8.14
233.5108,8157.9,-8.15
233.5188,8158.5,-8.52
233.5265,8159.1,-8.64
233.531,8159.5,-8.09
233.5354,8159.8,-8.27
233.5402,8160.2,-8.42
233.5459,8160.6,-8.15
233.5517,8161.1,-8.09
233.5562,8161.4,-8.27
233.5607,8161.8,-8.35
233.5652,8162.1,-8.21
233.5719,8162.6,-8.46
233.5752,8162.9,-8.51
233.5786,8163.1,-7.93
233.5823,8163.4,-7.95
233.586,8163.7,-8.26
233.5896,8164.0,-8.09
233.5941,8164.4,-7.69
233.5992,8164.7,-7.74
233.6042,8165.1,-7.92
233.6082,8165.4,-7.71
233.6122,8165.7,-7.54
233.6163,8166.0,-7.8
233.6195,8166.3,-7.75
233.6226,8166.5,-7.7
233.6257,8166.8,-8.3
233.6288,8167.0,-8.48
233.6336,8167.4,-7.82
233.6394,8167.8,-8.62
233.6445,8168.2,-8.97
233.6485,8168.5,-8.12
233.6525,8168.8,-7.59
233.6566,8169.1,-7.5
233.6611,8169.5,-7.52
233.6656,8169.8,-7.64
233.6702,8170.2,-7.53
233.6752,8170.2,-7.63
233.6803,8171.0,-8.05
233.6838,8171.2,-7.76
233.6865,8171.4,-7.44
233.6891,8171.6,-8.03
233.6918,8171.8,-8.42
233.6945,8172.1,-8.39
233.6983,8172.4,-7.48
233.7023,8172.7,-7.54
233.7064,8173.0,-7.88
233.7098,8173.2,-8.51
233.7129,8173.5,-8.15
233.716,8173.7,-7.58
233.7191,8174.0,-8.08
233.7223,8174.2,-8.11
233.7257,8174.5,-7.86
233.7291,8174.7,-7.86
233.7324,8175.0,-7.96
233.736,8175.2,-8.03
233.7398,8175.5,-8.01
233.7436,8175.7,-8.11
233.7475,8176.0,-8.27
233.751,8176.2,-8.02
233.7541,8176.5,-7.65
233.7572,8176.9,-7.89
233.76,8177.2,-8.29
233.7623,8177.5,-8.57
233.7646,8177.7,-8.11
233.767,8178.0,-7.54
233.7694,8178.3,-7.49
233.772,8178.5,-7.92
233.7745,8178.8,-8.03
233.777,8179.1,-7.92
233.7801,8179.4,-7.65
233.7832,8179.8,-7.78
233.7862,8180.1,-8.12
233.7886,8180.4,-8.23
233.7909,8180.7,-7.84
233.7932,8180.9,-8.06
233.7959,8181.2,-7.84
233.7999,8181.6,-8.07
233.8039,8182.1,-7.88
233.809,8182.7,-7.92
233.8116,8183.0,-7.88
233.8145,8183.3,-7.73
233.818,8183.7,-7.88
233.8215,8184.0,-8.05
233.8267,8184.7,-7.76
233.8326,8185.3,-7.95
233.8396,8186.1,-8.01
233.8453,8186.7,-7.82
233.8509,8187.3,-8.09
233.8564,8187.9,-8.01
233.863,8188.7,-8.25
233.87,8189.4,-8.25
233.877,8190.2,-8.36
233.8839,8191.0,-8.39
233.8897,8191.6,-8.53
233.8956,8192.3,-8.53
233.9026,8193.1,-8.51
233.9083,8193.7,-8.49
233.9138,8194.3,-8.16
233.9194,8194.9,-8.4
233.9322,8196.3,-8.35
233.935,8196.7,-8.64
233.9378,8197.0,-8.38
233.9412,8197.3,-8.37
233.9452,8197.8,-8.66
233.9492,8198.2,-8.25
233.9532,8198.7,-8.49
233.9571,8199.1,-8.72
233.9586,8199.3,-8.55
233.9602,8199.5,-8.21
233.9617,8199.7,-8.84
233.9633,8199.9,-8.89
233.9648,8200.0,-8.57
233.9671,8200.2,-9.11
233.9717,8200.7,-8.97
233.9762,8201.2,-8.48
233.9802,8201.7,-8.5
233.9842,8202.1,-8.77
233.9881,8202.6,-8.77
233.9921,8203.0,-8.86
233.9945,8203.3,-8.91
233.9965,8203.6,-8.52
233.9985,8203.9,-8.76
234.0014,8204.2,-8.84
234.0076,8204.6,-8.62
234.0138,8205.1,-8.77
234.02,8205.5,-9.05
234.0262,8206.0,-9.25
234.0301,8206.2,-8.95
234.033,8206.4,-8.81
234.0359,8206.6,-9.1
234.0388,8206.9,-8.95
234.0416,8207.1,-8.36
234.0445,8207.3,-8.5
234.0474,8207.5,-9.04
234.0503,8207.7,-8.67
234.0532,8207.9,-8.3
234.0562,8208.1,-8.7
234.0616,8208.5,-8.97
234.0671,8208.9,-8.65
234.0725,8209.3,-8.45
234.0779,8209.7,-8.88
234.0833,8210.1,-9.15
234.0862,8210.2,-8.54
234.0913,8210.6,-8.92
234.0939,8210.8,-8.51
234.0965,8211.0,-8.93
234.0992,8211.2,-9.16
234.1023,8211.4,-8.74
234.1054,8211.6,-8.38
234.1085,8211.9,-8.45
234.1116,8212.1,-8.89
234.1158,8212.4,-8.8
234.1201,8212.7,-8.66
234.1332,8213.6,-8.72
234.1375,8213.9,-8.86
234.1414,8214.2,-8.84
234.1448,8214.4,-8.67
234.1481,8214.7,-8.82
234.1514,8214.9,-8.62
234.155,8215.2,-8.49
234.1593,8215.5,-8.92
234.1637,8215.8,-8.25
234.168,8216.1,-8.0
234.1716,8216.4,-8.06
234.1753,8216.6,-8.08
234.1789,8216.9,-8.16
234.183,8217.2,-8.33
234.1902,8217.7,-8.64
234.1972,8218.2,-8.02
234.2034,8218.6,-8.25
234.2096,8219.1,-8.45
234.2151,8219.4,-8.31
234.2205,8219.8,-8.22
234.225,8220.2,-8.5
234.2279,8220.4,-8.51
234.2308,8220.6,-8.4
234.2337,8220.8,-8.32
234.2366,8221.0,-8.55
234.2388,8221.1,-8.33
234.2403,8221.3,-8.47
234.2418,8221.4,-8.48
234.2432,8221.5,-8.26
234.2447,8221.7,-8.23
234.2462,8221.8,-8.54
234.2477,8221.9,-8.15
234.2492,8222.1,-8.32
234.2513,8222.2,-8.45
234.2542,8222.4,-8.59
234.2571,8222.6,-8.54
234.2599,8222.9,-8.23
234.2628,8223.1,-8.26
234.2672,8223.4,-8.44
234.2717,8223.8,-8.57
234.2761,8224.1,-8.36
234.2792,8224.3,-8.03
234.2823,8224.6,-8.26
234.2854,8224.8,-8.36
234.2885,8225.1,-8.13
234.2909,8225.2,-8.05
234.2931,8225.4,-8.43
234.2954,8225.6,-8.52
234.2976,8225.8,-8.43
234.2998,8225.9,-8.04
234.3021,8226.1,-8.48
234.3055,8226.4,-8.84
234.3088,8226.6,-8.35
234.3122,8226.9,-8.11
234.3154,8227.1,-8.34
234.3208,8227.5,-8.3
234.3235,8227.8,-8.57
234.3262,8228.0,-8.62
234.3288,8228.2,-7.63
234.3311,8228.3,-7.63
234.3335,8228.5,-8.14
234.3359,8228.7,-8.5
234.3383,8228.9,-8.69
234.3406,8229.1,-8.98
234.3429,8229.2,-8.39
234.3451,8229.4,-8.03
234.3474,8229.6,-8.26
234.3496,8229.8,-8.27
234.3518,8229.9,-8.74
234.3542,8230.1,-8.88
234.3592,8230.5,-9.21
234.3643,8230.9,-8.98
234.3701,8231.3,-8.85
234.3768,8231.8,-8.89
234.3817,8232.2,-9.05
234.3851,8232.5,-8.72
234.3885,8232.8,-8.42
234.3918,8233.0,-8.36
