sample,depth_cm,age_yBP,Ni,Co,Cu,Cr,V,Zn
D-57,0.18,16.5,4.04995,0.355535,1.0408,3.05452,0.0375784,
D-56,0.3,18,3.9757,0.329038,1.04754,2.4569,0.0356161,0.621492
D-55,0.42,19,3.81341,0.344781,1.36417,2.1751,0.0252593,18.1642
D-54,0.54,20,4.18684,0.366656,1.35444,1.88202,0.0116701,4.29429
D-53,0.66,21,4.02844,0.333322,1.34635,1.51114,0.0144641,26.2371
D-52,0.78,23,3.57385,0.308717,1.15173,0.627284,0.0039743,13.2855
D-51,0.9,25,3.84516,0.329525,1.04635,0.76644,0.00794337,40.3856
D-50,1.02,26,4.05852,0.305386,1.46668,0.744,0.0192731,35.3847
D-49,1.14,28,4.05176,0.333939,1.13332,1.69072,0.0261402,57.8295
D-48,1.26,31,3.81367,0.34623,0.939802,0.49368,0.0288141,9.25163
D-47,1.38,33,3.51405,0.341563,1.09662,0.701556,0.0167977,30.1435
D-46,1.5,35,3.6923,0.312512,0.948792,0.681414,0.0188618,6.99986
D-45,1.62,37,3.50101,0.30974,2.20391,0.763999,0.00501025,5.6124
D-44,1.74,39,3.35667,0.304337,1.08529,0.560844,0.0374589,7.20618
D-43,1.86,40,3.57818,0.308178,1.08761,0.74437,0.0630294,38.2038
D-42,1.98,42,3.4302,0.337202,1.02039,17.8049,0.114213,21.1287
D-40,2.1,44,3.34967,0.31516,1.68656,0.752159,0.127229,29.2174
D-39,2.34,46,3.16925,0.315881,1.60364,0.506958,0.320454,12.6956
D-38,2.46,48,3.32768,0.308609,0.981099,0.432749,0.121601,11.0789
D-37,2.58,50,3.27211,0.295526,0.761864,0.582608,0.101564,20.7422
D-36,2.7,52,3.14794,0.31154,1.18526,0.66297,0.108581,30.5318
D-34,2.94,56,2.96129,0.301682,1.05007,0.44452,0.0813246,9.7759
D-33,3.06,60,3.37191,0.319151,1.68722,0.704961,0.0815443,34.9984
D-32,3.18,62,3.03656,0.301392,1.32953,0.444953,0.0625616,22.6777
D-31,3.3,64,3.04398,0.292719,1.12972,0.357372,0.0932563,42.0675
D-30,3.42,65,3.12864,0.306085,1.6436,0.402334,0.120756,29.2332
D-29,3.54,67,3.11272,0.298559,1.05536,0.394392,0.078296,15.4959
D-28,3.66,69,2.84556,0.269205,0.941266,0.397063,0.0240079,18.6837
D-27,3.78,71,,,,,,
D-26,3.9,74,2.70525,0.301641,1.21593,0.384591,0.0977108,20.646
D-25,4.02,76,2.87593,0.282678,1.75192,0.677488,0.036066,7.34514
D-24,4.14,78,2.94076,0.294955,1.04041,0.746266,0.07579,10.261
D-23,4.26,80,3.10091,0.312706,1.16787,0.915282,0.126506,16.5004
D-22,4.38,82,3.2584,0.309652,1.17091,1.00864,0.0675099,20.8439
D-21,4.5,83,3.4541,0.303552,1.21198,0.714593,0.0663814,8.50517
D-20,4.62,85,3.97936,0.300915,1.80882,0.937322,0.0879786,5.26185
D-19,4.74,87,3.73747,0.337154,1.08054,1.04813,0.0816173,7.53552
D-18,4.86,89,3.33388,0.324034,1.06049,1.24878,0.071968,7.59398
D-17,4.98,91,3.38468,0.340291,1.76238,1.11735,0.204255,31.5401
D-16,5.1,94,3.10086,0.327581,1.15839,0.726625,0.0450505,38.985
D-15,5.22,97,3.40622,0.303771,1.17153,0.973836,0.0526382,18.9627
D-14,5.34,100,3.40679,0.358351,1.36472,0.886385,0.0410175,30.7064
