specimen_id,age_min_BP1950,age_max_BP1950,age_mid_BP1950,age_mid_kaBP,IRMsoft_flux_Am2_per_yr
1,100,176,138.0,0.138,9.340e-10
2,180,249,214.5,0.2145,4.110e-10
3,249,318,283.5,0.2835,8.790e-10
4,322,358,340.0,0.34,2.080e-09
5,358,392,375.0,0.375,3.030e-09
6,398,434,416.0,0.416,2.760e-09
7,441,475,458.0,0.458,4.340e-09
8,475,511,493.0,0.493,2.290e-09
9,509,545,527.0,0.527,4.130e-09
10,547,582,564.5,0.5645,2.720e-09
11,581,621,601.0,0.601,8.330e-10
12,621,676,648.5,0.6485,1.330e-09
13,679,731,705.0,0.705,1.040e-09
14,734,789,761.5,0.7615,1.230e-09
15,789,841,815.0,0.815,1.360e-09
16,844,898,871.0,0.871,1.760e-09
17,898,956,927.0,0.927,3.200e-09
18,956,1005,980.5,0.9805,4.250e-09
19,1014,1065,1039.5,1.0395,1.400e-09
20,1069,1121,1095.0,1.095,1.610e-09
21,1121,1173,1147.0,1.147,1.060e-09
22,1173,1225,1199.0,1.199,1.550e-09
23,1226,1284,1255.0,1.255,2.060e-09
24,1284,1333,1308.5,1.3085,3.300e-09
25,1336,1384,1360.0,1.36,2.390e-09
26,1387,1454,1420.5,1.4205,1.170e-09
27,1454,1552,1503.0,1.503,1.260e-09
28,1556,1654,1605.0,1.605,7.080e-10
29,1654,1752,1703.0,1.703,9.250e-10
30,1752,1834,1793.0,1.793,1.640e-09
31,1902,1973,1937.5,1.9375,1.380e-09
32,1976,2041,2008.5,2.0085,9.620e-10
33,2041,2105,2073.0,2.073,1.150e-09
34,2105,2171,2138.0,2.138,6.360e-10
35,2176,2239,2207.5,2.2075,7.520e-10
36,2239,2310,2274.5,2.2745,1.980e-09
37,2310,2381,2345.5,2.3455,5.080e-10
38,2388,2452,2420.0,2.42,1.730e-09
39,2452,2523,2487.5,2.4875,6.560e-10
40,2523,2591,2557.0,2.557,1.620e-09
41,2591,2672,2631.5,2.6315,1.320e-09
42,2678,2737,2707.5,2.7075,2.180e-09
43,2740,2799,2769.5,2.7695,1.990e-09
44,2799,2855,2827.0,2.827,2.410e-09
45,2855,2914,2884.5,2.8845,5.990e-10
46,2918,2986,2952.0,2.952,4.130e-10
47,2989,3048,3018.5,3.0185,6.280e-10
48,3051,3110,3080.5,3.0805,3.110e-10
49,3110,3170,3140.0,3.14,3.210e-10
50,3170,3242,3206.0,3.206,1.350e-09
51,3247,3365,3306.0,3.306,1.130e-09
52,3365,3476,3420.5,3.4205,1.980e-10
53,3488,3611,3549.5,3.5495,2.310e-10
54,3611,3705,3658.0,3.658,1.940e-10
55,3711,3828,3769.5,3.7695,2.950e-10
56,3834,3935,3884.5,3.8845,3.400e-10
57,3935,3988,3961.5,3.9615,1.240e-09
58,3988,4038,4013.0,4.013,9.620e-10
59,4041,4086,4063.5,4.0635,3.010e-10
60,4089,4145,4117.0,4.117,1.360e-09
61,4147,4193,4170.0,4.17,9.850e-10
62,4193,4249,4221.0,4.221,3.650e-10
63,4249,4302,4275.5,4.2755,7.010e-10
64,4302,4348,4325.0,4.325,1.190e-09
65,4356,4409,4382.5,4.3825,7.130e-10
66,4409,4462,4435.5,4.4355,8.010e-10
67,4462,4550,4506.0,4.506,4.180e-10
68,4550,4649,4599.5,4.5995,1.330e-10
69,4654,4739,4696.5,4.6965,3.280e-10
70,4749,4848,4798.5,4.7985,6.240e-10
71,4853,4948,4900.5,4.9005,7.350e-10
72,4950,5047,4998.5,4.9985,1.110e-10
73,5064,5124,5094.0,5.094,2.910e-10
74,5124,5149,5136.5,5.1365,7.400e-10
75,5156,5219,5187.5,5.1875,1.040e-09
76,5256,5307,5281.5,5.2815,1.360e-09
77,5313,5376,5344.5,5.3445,5.230e-10
78,5376,5439,5407.5,5.4075,6.440e-10
79,5439,5523,5481.0,5.481,5.150e-10
80,5505,5651,5578.0,5.578,2.940e-10
81,5663,5798,5730.5,5.7305,3.720e-10
82,5798,5915,5856.5,5.8565,3.150e-10
83,5915,6031,5973.0,5.973,3.150e-10
84,6031,6167,6099.0,6.099,1.240e-10
85,6167,6349,6258.0,6.258,1.160e-10
86,6349,6513,6431.0,6.431,8.480e-11
87,6513,6695,6604.0,6.604,1.700e-10
88,6695,6751,6723.0,6.723,8.700e-10
89,6751,6791,6771.0,6.771,1.170e-09
90,6793,6830,6811.5,6.8115,1.430e-09
91,6830,6870,6850.0,6.85,2.340e-10
92,6870,6913,6891.5,6.8915,4.840e-10
93,6913,6974,6943.5,6.9435,7.720e-10
94,6974,7034,7004.0,7.004,4.950e-10
95,7034,7095,7064.5,7.0645,7.730e-10
96,7095,7156,7125.5,7.1255,1.230e-09
97,7156,7216,7186.0,7.186,1.690e-09
98,7216,7277,7246.5,7.2465,1.280e-09
99,7277,7338,7307.5,7.3075,7.300e-10
100,7338,7419,7378.5,7.3785,1.120e-09
101,7419,7514,7466.5,7.4665,1.510e-09
102,7518,7596,7557.0,7.557,2.640e-09
103,7596,7683,7639.5,7.6395,5.680e-10
104,7683,7736,7709.5,7.7095,9.960e-10
105,7736,7785,7760.5,7.7605,1.360e-09
106,7798,7835,7816.5,7.8165,2.030e-09
107,7847,7884,7865.5,7.8655,2.370e-09
108,7899,7937,7918.0,7.918,2.250e-09
109,7942,7976,7959.0,7.959,3.020e-09
110,7995,8059,8027.0,8.027,1.430e-09
111,8118,8199,8158.5,8.1585,6.700e-10
112,8204,8285,8244.5,8.2445,8.020e-10
113,8290,8365,8327.5,8.3275,1.030e-09
114,8397,8472,8434.5,8.4345,2.410e-09
115,8499,8580,8539.5,8.5395,9.620e-10
