,depth_cm,Ca,Ni,Co,Ni_corrected,Co_corrected
HS4-C-993,7.0,416452.33655765525,7.083953794615118,1.329241467288853,3.584609970137855,0.2878108595209591
HS4-C-991,7.3,383005.4202487829,6.380994453202201,1.26174297705812,3.343828607563889,0.3483071109222201
HS4-C-990,7.49,398762.2435538281,6.730254602537372,1.3135763493827948,3.47747408795217,0.3385186568622661
HS4-C-989,7.69,399831.020450214,6.769723929219895,1.3033415660230498,3.5041644098410263,0.3250125132901206
HS4-C-988,7.89,393297.23034475325,6.564050698011575,1.2860720292932164,3.380780244874284,0.3330162937293989
HS4-C-987,8.09,419420.6051290237,6.814873207350565,1.417982733315689,3.2357346779119593,0.3597263128395879
HS4-C-986,8.29,396122.4085079077,6.520110228720638,1.3668732496029419,3.285713513304554,0.39804475119629845
HS4-C-985,8.48,392578.7641694461,6.5562422519480235,1.2703350568444889,3.383752806640353,0.32097260377422476
HS4-A-893,155.2,442215.11459490826,7.769926077199708,1.9109020020653116,3.931492208414025,0.7358904640491309
HS4-A-891,155.6,395604.1579846499,7.557285273659304,1.9682905769312338,4.4526642234037945,0.9616444203313302
HS4-A-889,155.87,378911.59407999704,7.693596955111009,2.001924420982576,4.876629186252619,1.0547099569862297
HS4-A-887,156.23,431697.8380837536,10.742071683559557,3.734811006704138,7.422542327874456,2.4781507947941535
HS4-A-885,156.38,406379.55552328605,8.273336299222713,2.0641444918550484,5.077094804862642,1.0113671533903652
HS4-A-883,156.64,398616.47004186956,10.83517868475714,3.579872202432685,8.065009787871873,2.4556332104091543
HS4-A-881,156.88,376484.59673336725,10.105909779990627,3.286424649444617,7.6106651206794185,2.263315517055242
HS4-A-879,157.1,401569.9491755295,6.6033882401211,1.2929477163139498,3.290064288390446,0.30888261887986423
HS4-A-877,157.3,409240.26405816444,6.499554313199613,1.3208825147328316,3.0492324727432303,0.30664178174968526
HS4-A-875,157.48,389185.1541005114,6.250223361651999,1.2654093422887855,3.0971705172254076,0.3289065337700491
HS4-A-873,157.65,535939.0239668266,8.646966162804205,1.8519137622830122,3.3855872706158943,0.334631730807022
HS4-A-871,157.8,433838.87334186194,6.765176708382585,1.4770619803678067,2.945536960614545,0.36164897246427674
