estimate,weighting,V_ref,S_Ni,S_Co,sigma_lnV,q16_84_pct,env68_lo,env68_hi,env95_lo,env95_hi,frac_of_signal
conservative,precision,2.81,-0.5012,-0.7206,0.3279,28.1287,2.0592,3.6401,1.8495,4.5059,0.1911
conservative,equal,2.81,-0.5012,-0.7206,0.3811,32.6695,1.9014,3.7374,1.6742,4.9714,0.2222
conservative,precision,2.0,-0.4422,-0.6854,0.3476,29.8029,1.4449,2.637,1.2884,3.2793,0.2026
conservative,equal,2.0,-0.4422,-0.6854,0.4229,35.7943,1.2936,2.7253,1.1226,3.8198,0.2466
conservative,precision,5.0,-0.5953,-0.7577,0.3055,26.8433,3.7223,6.4067,3.3698,7.8283,0.1781
conservative,equal,5.0,-0.5953,-0.7577,0.333,29.0998,3.565,6.475,3.1924,8.1172,0.1941
conservative,precision,10.0,-0.6888,-0.7557,0.2947,25.7677,7.4834,12.637,6.7968,15.5576,0.1718
conservative,equal,10.0,-0.6888,-0.7557,0.3026,26.8283,7.3814,12.7471,6.6833,15.8932,0.1764
conservative,precision,15.62,-0.732,-0.7227,0.2969,26.124,11.6219,19.783,10.5462,24.5416,0.1731
conservative,equal,15.62,-0.732,-0.7227,0.296,26.0006,11.642,19.7646,10.5678,24.4708,0.1726
conservative,precision,20.0,-0.7487,-0.6931,0.3015,26.6912,14.7854,25.4619,13.3933,31.7636,0.1757
conservative,equal,20.0,-0.7487,-0.6931,0.2968,25.9628,14.9272,25.3123,13.5476,31.2464,0.173
partitioned,precision,2.81,-0.5012,-0.7206,0.2365,24.6359,2.1802,3.5647,1.8854,4.3794,0.1379
partitioned,equal,2.81,-0.5012,-0.7206,0.289,28.8073,2.0544,3.6733,1.7275,4.83,0.1685
partitioned,precision,2.0,-0.4422,-0.6854,0.2494,26.1222,1.5351,2.58,1.3137,3.1523,0.1454
partitioned,equal,2.0,-0.4422,-0.6854,0.3223,32.1131,1.4144,2.6989,1.1643,3.5968,0.1879
partitioned,precision,5.0,-0.5953,-0.7577,0.2222,22.9564,3.9227,6.2183,3.4352,7.7245,0.1295
partitioned,equal,5.0,-0.5953,-0.7577,0.2505,25.0395,3.7973,6.3013,3.2771,8.1781,0.146
partitioned,precision,10.0,-0.6888,-0.7557,0.2166,22.1589,7.857,12.2888,6.9343,15.5953,0.1263
partitioned,equal,10.0,-0.6888,-0.7557,0.2253,22.8424,7.776,12.3445,6.8347,15.9777,0.1314
partitioned,precision,15.62,-0.732,-0.7227,0.2199,22.4589,12.1938,19.21,10.7724,24.866,0.1282
partitioned,equal,15.62,-0.732,-0.7227,0.2188,22.3606,12.2137,19.1992,10.7911,24.7297,0.1276
partitioned,precision,20.0,-0.7487,-0.6931,0.2242,22.7671,15.564,24.6708,13.6935,31.9734,0.1307
partitioned,equal,20.0,-0.7487,-0.6931,0.2184,22.3219,15.6749,24.6036,13.8259,31.3725,0.1273
