element,rho_Co_12,rho_Ni_12,rho_Co_core7,rho_Ni_core7,EF_core_median
Cr,0.9440559440559443,0.9300699300699302,0.8571428571428573,0.8928571428571429,3.835832514385489
Mn,0.9510489510489512,0.9020979020979022,0.8571428571428573,0.8928571428571429,39.27422549887347
Nd,0.8951048951048951,0.8601398601398602,0.8571428571428573,0.9285714285714288,6.2981804336532266
Ce,0.9230769230769231,0.9510489510489512,0.8571428571428573,0.8928571428571429,11.80344177573602
Ga,0.9230769230769231,0.9510489510489512,0.8571428571428573,0.8928571428571429,6.937516628303039
Cu,0.9440559440559443,0.9370629370629372,0.8571428571428573,0.9285714285714288,2.929017159247902
Pb,0.9090909090909092,0.9440559440559443,0.8571428571428573,0.8928571428571429,3.358442124891174
Pr,0.9510489510489512,0.9510489510489512,0.8214285714285715,0.9642857142857145,4.4963842907467395
La,0.9160839160839163,0.965034965034965,0.8214285714285715,0.9642857142857145,6.5186792147981345
Y,0.9370629370629372,0.9440559440559443,0.8214285714285715,0.9642857142857145,12.580568668760572
Er,0.965034965034965,0.9160839160839163,0.8214285714285715,0.9642857142857145,8.247725385686989
Ho,0.9440559440559443,0.8951048951048951,0.8214285714285715,0.9642857142857145,4.215563079622876
Tb,0.9510489510489512,0.9370629370629372,0.8214285714285715,0.8928571428571429,3.2269620556316996
Gd,0.9160839160839163,0.9440559440559443,0.8214285714285715,0.8571428571428573,3.0270936963794566
Sm,0.9580419580419581,0.9090909090909092,0.8214285714285715,0.8928571428571429,3.6411355858038936
Yb,0.9230769230769231,0.8951048951048951,0.7500000000000002,0.8214285714285715,4.365059071365393
Rb,0.4545454545454546,0.49650349650349657,0.7500000000000002,0.7500000000000002,0.9984427888941658
Al,0.7552447552447553,0.8181818181818183,0.7142857142857144,0.7142857142857144,1.7953266875147298
Ti,0.8181818181818183,0.8321678321678322,0.7142857142857144,0.7500000000000002,2.347443593298088
Na,-0.25874125874125875,-0.2377622377622378,0.7142857142857144,0.8214285714285715,0.8813052710486514
Tm,0.7832167832167832,0.8041958041958043,0.7142857142857144,0.8571428571428573,2.2056453115118546
Dy,0.9160839160839163,0.8741258741258742,0.6785714285714287,0.8571428571428573,7.588351654239895
Mo,0.8671328671328673,0.9440559440559443,0.6785714285714287,0.7500000000000002,4.396639698052389
Sn,0.9020979020979022,0.8391608391608393,0.6785714285714287,0.5714285714285715,2.8909633867093345
Fe,0.7132867132867133,0.6783216783216784,0.642857142857143,0.7142857142857144,1.1323840710600215
Tl,0.8601398601398602,0.8741258741258742,0.642857142857143,0.8571428571428573,1.9530237126200598
Zn,0.5314685314685316,0.3846153846153847,0.642857142857143,0.3571428571428572,1.1843372210251608
Cs,0.27272727272727276,0.4685314685314686,0.6071428571428572,0.8214285714285715,1.48023153250472
Lu,0.7762237762237763,0.7902097902097903,0.6071428571428572,0.7500000000000002,1.9780430204602355
Nb,0.8951048951048951,0.8881118881118882,0.5357142857142858,0.7500000000000002,2.982189957671354
Th,0.7972027972027973,0.7902097902097903,0.5357142857142858,0.6071428571428572,3.186932876400681
Sc,-0.006993006993006993,-0.11188811188811189,0.5,0.39285714285714296,0.9415130491610493
K,-0.013986013986013986,-0.1328671328671329,0.42857142857142866,0.28571428571428575,0.9673272296388914
Zr,0.7062937062937064,0.7552447552447553,0.3571428571428572,0.5,1.9528861412948046
Eu,-0.16083916083916086,-0.22377622377622378,-0.03571428571428572,0.07142857142857144,0.8562383473472768
Mg,-0.5874125874125874,-0.49650349650349657,-0.14285714285714288,-0.21428571428571433,0.8116845301194209
Ca,-0.27272727272727276,-0.37762237762237766,-0.1785714285714286,-0.3214285714285715,0.9740402033980093
Ta,0.43356643356643365,0.44755244755244755,-0.1785714285714286,0.0,1.6305265075870432
U,0.3216783216783217,0.14685314685314685,-0.1785714285714286,-0.3214285714285715,1.1270883602464676
Sr,-0.4895104895104896,-0.6013986013986015,-0.21428571428571433,-0.5,0.9623383625496905
V,0.4825174825174825,0.5314685314685316,-0.21428571428571433,-0.07142857142857144,2.25638631772497
Li,-0.31468531468531474,-0.3636363636363637,-0.21428571428571433,-0.14285714285714288,0.8790311088754158
Be,0.22377622377622378,0.3706293706293707,-0.3214285714285715,0.0,1.237463991211183
Ba,-0.5384615384615385,-0.6083916083916086,-0.39285714285714296,-0.6071428571428572,0.9426964499051093
Hf,0.4125874125874127,0.5314685314685316,-0.5714285714285715,-0.3214285714285715,1.7815221964436876
P,0.5244755244755246,0.49650349650349657,-0.6071428571428572,-0.7500000000000002,1.6126778940166637
