element,rho_Ni,p_Ni,n,rho_Co,p_Co
Ca,-0.19582941602576945,0.06137206847493789,92,-0.008677157344759026,0.9345735960801577
Co,0.7446788835288134,1.7540008049320816e-17,92,,
Ni,,,92,0.7446788835288134,1.7540008049320816e-17
B,0.3890541436123484,0.00012668731296163323,92,0.2687144552502196,0.009597558668039246
Na,0.5800286669851886,1.368053556726932e-09,92,0.3154755482946226,0.0021899144582424273
Mg,-0.5735400644236549,2.2904106043863824e-09,92,-0.5476010665351478,1.6138554234805997e-08
Al,0.5949786538846847,3.9935023138833566e-10,92,0.3712220458363516,0.0002694408716717472
P,-0.010791455735275958,0.9195912700135112,90,-0.005457463884430177,0.9592851225570842
K,0.3054729281938258,0.003065872992524561,92,0.16394124809272073,0.11839291531553653
Ti,0.5326819043509086,4.611539940137887e-08,92,0.31710925820322733,0.0020705506500350774
V,0.47881571443983784,1.3788966247864763e-06,92,0.29479216435738176,0.004336757702055486
Cr,0.3441117087680902,0.0007831907627695186,92,0.04740841206479355,0.6536043066864712
Mn,0.4379113172942065,1.2686502283175784e-05,92,0.2678667755806606,0.009836680652480478
Fe,0.20017570087696315,0.055725250994341564,92,0.4608757301604426,3.7807755867329067e-06
Cu,0.48191359832313546,1.151712619774712e-06,92,0.25334833469475826,0.014821894569508024
Zn,0.5828799531464328,1.086919167774945e-09,92,0.45463372532096236,5.299987375543383e-06
As,0.2951004115099487,0.004294333917652787,92,0.04112017015242821,0.6971408896431801
Rb,0.6011744216512799,2.3529029532290173e-10,92,0.2958093799608526,0.004198160172791627
Sr,0.10329362082517761,0.32716739372182185,92,0.17762742166669235,0.09027542272533044
Y,0.5138634156866976,1.6161739265549564e-07,92,0.2425134472820307,0.019849089263714776
Ag,-0.7999999999999999,0.10408803866182788,5,0.0,1.0
Cd,0.329530394698934,0.0015161065810435958,90,0.2596616866279787,0.013455413587966095
Sn,0.3272336359292881,0.001544937118973664,91,-0.02376174550087594,0.8230913929467463
Sb,0.690072900451582,2.7675338713755003e-14,92,0.5246828907417967,7.932135460319045e-08
Cs,0.22722438851471108,0.029388282953070406,92,-0.06462401553565648,0.5405265039427609
Ba,-0.08341167948461076,0.42923773046818303,92,0.01578225421142672,0.8813030251638603
La,0.5952252516067382,3.911135432546232e-10,92,0.35132469213815637,0.0005950420933078663
Ce,0.5776551639104234,1.654011691810227e-09,92,0.33565032443012804,0.001072196188838789
Hf,0.15093321825439637,0.1509601648279095,92,0.41522432686528055,3.860768279314809e-05
Ta,0.25440451021846366,0.09561528389910917,44,0.07061310782241015,0.6487644011498614
Pb,0.6200545597460043,4.36728183981205e-11,92,0.5367199420495353,3.4882246398857286e-08
Th,0.52835881340488,2.3967693334053465e-07,84,0.2031791029664878,0.06378922258604099
U,0.3247691999445155,0.0015854528242664982,92,0.24480988856865435,0.018675928051364442
drip rate,0.44664032553175465,1.6280004626330094e-05,86,0.5461983446990925,5.33946419309646e-08
