ref,element,series,rho,p_adj,n,n_eff
Ni,Co,raw,0.815422274433632,1.265400538985211e-26,568,106.77206628867893
Ni,Co,detrended,0.4613015275097535,5.101261700653124e-24,568,429.48446537152824
Ni,Co,"detrended, 5.2 ka removed",0.45270664043419884,7.278911040316614e-23,565,425.01888749140375
Ni,Cu,raw,0.32935350480904885,6.514419567992992e-07,568,218.08078973478024
Ni,Cu,detrended,0.3244904939636804,1.946891289508753e-12,568,447.7285429223434
Ni,Cu,"detrended, 5.2 ka removed",0.3139878475458169,1.2207467316404062e-11,565,445.0837334189484
Ni,Cr,raw,0.07525439937857965,0.2652348059980822,568,221.05109326735226
Ni,Cr,detrended,0.43215749013965665,1.840700156931572e-21,568,440.3090591626739
Ni,Cr,"detrended, 5.2 ka removed",0.42432199296443596,1.6484525329751773e-20,565,436.58963753512177
Ni,V,raw,0.37093707021611294,1.2581884338574002e-06,564,161.15137542612513
Ni,V,detrended,-0.013886686008025733,0.7842281024250288,564,391.24928206008343
Ni,V,"detrended, 5.2 ka removed",-0.024268255220545182,0.6344726358089642,561,386.19659330214637
Ni,Zn,raw,0.33989481531655935,2.1531474397124295e-08,563,257.87096918962357
Ni,Zn,detrended,0.25711612398167855,1.5834872954072912e-08,563,469.60666488637423
Ni,Zn,"detrended, 5.2 ka removed",0.25312688738558237,2.991675572023717e-08,560,466.31190256026883
Co,Ni,raw,0.815422274433632,1.265400538985211e-26,568,106.77206628867893
Co,Ni,detrended,0.4613015275097535,5.101261700653124e-24,568,429.48446537152824
Co,Ni,"detrended, 5.2 ka removed",0.45270664043419884,7.278911040316614e-23,565,425.01888749140375
Co,Cu,raw,0.22510861276997096,0.000957990816253197,568,212.23645226798266
Co,Cu,detrended,0.1916973556108102,4.084306282358106e-05,568,452.06446888390576
Co,Cu,"detrended, 5.2 ka removed",0.17906117022432688,0.00013308511623162252,565,450.43945727704545
Co,Cr,raw,-0.06517684509714015,0.34127733566155566,568,215.2341024903024
Co,Cr,detrended,0.3323967406270523,6.160013575290299e-13,568,444.8800438500026
Co,Cr,"detrended, 5.2 ka removed",0.3230715387184008,3.338490582410499e-12,565,442.27863495786477
Co,V,raw,0.43384891372943923,1.6731107772624286e-08,564,155.18242051170515
Co,V,detrended,0.07591914384981019,0.13046670059838655,564,398.1375053253523
Co,V,"detrended, 5.2 ka removed",0.06658939738462678,0.18682261821836643,561,394.6000762790734
Co,Zn,raw,0.30654265775684647,6.802886993285396e-07,563,252.49437778903575
Co,Zn,detrended,0.16375853629889991,0.0003456173153959765,563,473.58055094997195
Co,Zn,"detrended, 5.2 ka removed",0.15887256557223584,0.0005375344279863725,560,471.1459788244369
