ref,element,lag,rho
Ni,Co,-5,0.07969731703493463
Ni,Co,-4,0.10360784732216531
Ni,Co,-3,0.11119644133322448
Ni,Co,-2,0.15334767143810424
Ni,Co,-1,0.18591973865267702
Ni,Co,0,0.45270664043419884
Ni,Co,1,0.19008896789615276
Ni,Co,2,0.16808092821429005
Ni,Co,3,0.11430635688610041
Ni,Co,4,0.1421323616229109
Ni,Co,5,0.11470201765080146
Ni,Cu,-5,0.05040226210782612
Ni,Cu,-4,0.06666899452086164
Ni,Cu,-3,0.04142715069849652
Ni,Cu,-2,0.07345479948093858
Ni,Cu,-1,0.08955988796649543
Ni,Cu,0,0.3139878475458169
Ni,Cu,1,0.10460661614926062
Ni,Cu,2,0.09329412716229013
Ni,Cu,3,0.08440284724629127
Ni,Cu,4,0.07565318609748839
Ni,Cu,5,0.11889263999281388
Ni,Cr,-5,0.011673933706314655
Ni,Cr,-4,-0.029610734916075725
Ni,Cr,-3,-0.031206474367974763
Ni,Cr,-2,0.09354945910971897
Ni,Cr,-1,0.10383236853315898
Ni,Cr,0,0.42432199296443596
Ni,Cr,1,0.1572118901050943
Ni,Cr,2,0.1216593105309921
Ni,Cr,3,0.13890539845390426
Ni,Cr,4,0.12942664739165585
Ni,Cr,5,0.11307732307844238
Ni,V,-5,-0.0814297694572451
Ni,V,-4,-0.11670354375021315
Ni,V,-3,-0.0956579551059958
Ni,V,-2,-0.0785364120359381
Ni,V,-1,-0.06274050350104844
Ni,V,0,-0.024268255220545182
Ni,V,1,-0.07873589081186634
Ni,V,2,-0.08510311175445051
Ni,V,3,-0.1001182472471021
Ni,V,4,-0.0789568969577749
Ni,V,5,-0.09184952949060694
Ni,Zn,-5,0.1309213285111201
Ni,Zn,-4,0.07457078684900528
Ni,Zn,-3,0.08173077429478752
Ni,Zn,-2,0.06877355774221228
Ni,Zn,-1,0.1291414470777558
Ni,Zn,0,0.25312688738558237
Ni,Zn,1,0.09325999864158305
Ni,Zn,2,0.1331719934828911
Ni,Zn,3,0.1599864394910461
Ni,Zn,4,0.13841182492809054
Ni,Zn,5,0.10854645276336942
Co,Ni,-5,0.1154672630984735
Co,Ni,-4,0.14184248311173803
Co,Ni,-3,0.10869544091104547
Co,Ni,-2,0.163316279934175
Co,Ni,-1,0.1893465780070383
Co,Ni,0,0.45270664043419884
Co,Ni,1,0.18931871915589712
Co,Ni,2,0.15736152869362705
Co,Ni,3,0.11744219882430135
Co,Ni,4,0.10427154337412381
Co,Ni,5,0.08400172872215715
Co,Cu,-5,0.0742353393860246
Co,Cu,-4,-0.004342746593722014
Co,Cu,-3,0.009302853370204747
Co,Cu,-2,0.014995466668352912
Co,Cu,-1,0.07674278264162686
Co,Cu,0,0.17906117022432688
Co,Cu,1,0.060462488355286295
Co,Cu,2,-0.003908624331708557
Co,Cu,3,0.0010986110299478023
Co,Cu,4,0.022908591488332006
Co,Cu,5,0.013382350841098237
Co,Cr,-5,0.009379077856742414
Co,Cr,-4,0.019528067565946276
Co,Cr,-3,0.0022195333162768004
Co,Cr,-2,0.0892393910488082
Co,Cr,-1,0.07799602319931348
Co,Cr,0,0.3230715387184008
Co,Cr,1,0.1761461797574091
Co,Cr,2,0.11295095661320485
Co,Cr,3,0.10248435316449206
Co,Cr,4,0.09542478433835798
Co,Cr,5,0.09074803455335662
Co,V,-5,-0.01596031599217374
Co,V,-4,-0.027417936772769
Co,V,-3,-0.042695661006340375
Co,V,-2,0.009943216850901897
Co,V,-1,0.07474002384193394
Co,V,0,0.06658939738462678
Co,V,1,0.0041301695964559544
Co,V,2,-0.010299838255141958
Co,V,3,0.02792775447785627
Co,V,4,-0.002149880775544917
Co,V,5,-0.004837031928036143
Co,Zn,-5,0.10829243097314223
Co,Zn,-4,0.03609478438956656
Co,Zn,-3,-0.009781114213512413
Co,Zn,-2,-0.0064306446191782045
Co,Zn,-1,0.11448741771170678
Co,Zn,0,0.15887256557223584
Co,Zn,1,0.09614598935977135
Co,Zn,2,0.005268693054532563
Co,Zn,3,0.036618514131413885
Co,Zn,4,0.02166872138477617
Co,Zn,5,-0.005077780138722776
